"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm17018",26.1579245345431,-0.346018274318496,0.366626108337012,-0.943790598787438,0.345276665690022,0.62888543275786
"Nol7",223.514459276805,-0.137235857348827,0.145671811744057,-0.942089315055323,0.346146914478394,0.629936922113926
"Golga1",27.7283889758168,-0.345451326942077,0.366888592897259,-0.941570094109779,0.346412786894869,0.630007254796154
"Tnfrsf1b",26.4485029001911,-0.35677237513375,0.378922469497239,-0.941544521250275,0.346425885099621,0.630007254796154
"Shc1",26.5813989169615,0.346897517812043,0.368627647894541,0.941051274350657,0.346678583741328,0.630248201995765
"Rpn2",98.8018788208311,-0.185498641572815,0.197279460157548,-0.940283602888385,0.347072108068153,0.630307953793324
"Clstn1",122.969166158011,-0.201281517417536,0.214018635215796,-0.940485940462999,0.346968358048164,0.630307953793324
"Clpp",34.8151048454461,-0.305029894857071,0.324280160942947,-0.940636929407275,0.346890950263064,0.630307953793324
"Mtmr11",31.6565361397881,-0.328511756541882,0.34955168296077,-0.939808825291083,0.347315631138341,0.630531805421856
"Resf1",82.8873003788553,0.226134653978011,0.240823921601641,0.939004117506531,0.347728630313552,0.631063069828299
"Cct8",92.4377415010174,-0.195078061019942,0.207821732742344,-0.938679792751986,0.347895171372802,0.631146845504361
"Peg13",34.3068564919416,0.311129690000759,0.331681956774534,0.938036223092637,0.34822579512935,0.631528136929499
"Ddx1",44.5738676485536,0.276355075230226,0.295104770518238,0.936464275873662,0.349034197579567,0.632775345058668
"Txndc9",61.0254139097775,-0.228347078490131,0.24408352341927,-0.935528442441781,0.349516032493854,0.632972044740165
"Plcb4",93.1255948126728,-0.198340894362116,0.212027333355829,-0.935449648037856,0.349556620830418,0.632972044740165
"Akap12",90.1365128556865,0.207572625786312,0.221786232514558,0.935913034063947,0.349317965753525,0.632972044740165
"Ylpm1",46.2199475855702,0.276926741083545,0.296078348806873,0.935315743955934,0.349625603960999,0.632972044740165
"Denr",80.7488824081867,-0.202535634019829,0.216716528025019,-0.934564778540781,0.350012637594422,0.633016991689394
"Man2b1",37.8448952499289,-0.309921516986044,0.331523248598655,-0.934840975093238,0.349870259426533,0.633016991689394
"Ces2e",29.6186559770396,0.328506568392089,0.351454369098016,0.934706173194487,0.349939744649715,0.633016991689394
"Tnfsf10",158.753400434821,-0.166971359576778,0.178995482255795,-0.932824434854542,0.350910622909651,0.634326167358143
"Gtf2a1",29.9043145249303,0.336282531182731,0.360640635173037,0.93245879245244,0.351099473140059,0.634326167358143
"Appl1",62.894095276945,0.237731307045737,0.254922658606584,0.932562481284264,0.351045912470823,0.634326167358143
"Lamb2",60.1496606788618,0.233840622897234,0.250935030654356,0.931877156758283,0.351400014197708,0.634650456230996
"Atp6v0d1",38.6702713338087,0.298872925378523,0.321063747287642,0.930883439514463,0.351913861793504,0.634703948188283
"Mrpl4",49.8363363153679,-0.25853130879003,0.277685163592569,-0.931023125057404,0.351841602177271,0.634703948188283
"Rbfa",24.7504675252567,-0.350241249950939,0.375978091650044,-0.93154696438254,0.351570702723034,0.634703948188283
"Add3",73.2492601423886,-0.222548153378242,0.23902626322825,-0.931061509193771,0.351821747631083,0.634703948188283
"Lrrcc1",36.8264029659064,0.313039701317355,0.336476591240232,0.930346150273071,0.352191890194847,0.63498696021031
"Coq10b",73.7201352613458,0.22565660916096,0.242828460200167,0.929284026159649,0.352741911302176,0.635323201977777
"Kdsr",28.4802349985196,0.331379522235693,0.356442039855814,0.929686976232493,0.352533179608794,0.635323201977777
"Scarf1",61.6830178914232,-0.234801741246613,0.252642789703908,-0.929382316913915,0.352690988615149,0.635323201977777
"Gt(ROSA)26Sor",29.990953004958,-0.318158802899465,0.342597349067639,-0.928666855611457,0.353061762653652,0.635680914008618
"Sacm1l",29.387270143359,0.337034023196015,0.363202394414458,0.927950994759737,0.35343299039079,0.636007638502562
"Nudt3",34.4630797387727,0.29795486223869,0.32120519633628,0.927615323902642,0.353607145953646,0.636007638502562
"Sik1",68.8690430440512,0.284272144104283,0.306414241410638,0.927738028087663,0.353543477252212,0.636007638502562
"Cnot7",31.3940643225326,0.310473331494847,0.334912856119437,0.927027212667302,0.353912405499206,0.636094549878267
"Enpp6",118.453861822523,0.176583843752399,0.190436891844973,0.927256489231871,0.353793379539089,0.636094549878267
"Ewsr1",87.0136837588094,-0.211553987312552,0.228257632861605,-0.926821086595683,0.354019434778711,0.636094549878267
"Stau1",35.0037183716715,0.302355060329154,0.326676351228683,0.925549275887122,0.354680264409246,0.637063592428117
