"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cacna1d",91.6132316883616,1.14844569223716,0.262805925309209,6.99421610384954e-07,1.51987949295665e-05
"Arl6ip5",65.2296945905816,1.05871728793937,0.249256915037113,1.44836478763339e-06,2.97359065142032e-05
"Brd9",67.9339120397154,1.06876384616475,0.252294217027673,1.60119909428902e-06,3.24752289032619e-05
"Hps3",69.4886061760571,1.08911651941026,0.262994863372318,2.15901532304853e-06,4.31351927079517e-05
"Ino80b",42.4016610994775,1.26234761242565,0.317132575688778,4.2644345967433e-06,7.97258680335277e-05
"Wdr70",39.1517129251661,1.32213595853305,0.335225304214645,4.82171576381836e-06,8.89028749510641e-05
"Tshz2",56.1650526788949,-1.10473607347643,0.288120050622655,6.64747649498015e-06,0.000118644160482406
"Etv5",50.2414409119702,1.11564488724806,0.294991726135011,9.73688533561974e-06,0.000166247381508426
"Pex3",40.3055868796804,1.20895895370952,0.328771744933469,1.37809522237663e-05,0.000224965642033336
"Fstl5",47.2700719762227,-1.1123437974176,0.305424331565301,1.4622050950923e-05,0.000237537347122639
"Gdf15",71.7289620942704,-1.0350985899,0.288799647236051,1.7694354187294e-05,0.000282375756368028
"Chil6",32.3725696215071,1.59393432600186,0.457544609152627,1.94550443645385e-05,0.000307105216820416
"Msantd4",32.016408784411,1.30413666101854,0.3701379742475,2.40838067662158e-05,0.000375741069198793
"Mid1",46.3126745843674,1.32622444482757,0.37912578471737,2.75270183861218e-05,0.000426477625134984
"Atf5",44.9206686243291,-1.05026754416693,0.312698992658484,4.3200020467942e-05,0.000645396734357
"Prdx6",43.7101643631164,1.13180162356309,0.341363944502645,4.76386118020707e-05,0.000702302266060043
"Frmd6",25.1693436952267,1.49767086488447,0.45569725105711,5.01170795887149e-05,0.000737216733378613
"Cd55",24.5651749879211,1.44215524241295,0.456301987938573,8.41983173034772e-05,0.00116433747461193
"Sparc",29.2637535509768,1.21080329342592,0.389064884664207,0.00010599795783554,0.00143219536630304
"Larp7",44.8956711867307,1.04715568437598,0.348061312960466,0.000159851649417556,0.00205747517221481
"Entpd6",21.8000973544061,1.35421346338928,0.460997469833305,0.00016463843155571,0.00211096747586661
"Snhg9",27.7811249794678,1.15864375476016,0.394695398995632,0.000179581370683296,0.00227209473342778
"Gm4070",26.0011164770013,1.23309447050064,0.421419617159913,0.000186367234539946,0.0023446539488268
"Armc5",28.5574038014358,1.14206586062086,0.406044161871748,0.000261377211911939,0.00313512128911578
"Igkc",20.2650223951397,1.36201403375157,0.501384710454389,0.000296192554976949,0.00347183322322367
"Wfdc18",139.322700222041,-1.08629693859255,0.409252151288904,0.000366401003833519,0.00416353466665151
"Nmt2",25.2369028930857,1.13086161611127,0.429743334349871,0.000461050322929241,0.00507534508448258
"Otud6b",26.1651119765631,1.08563525888101,0.414675280115089,0.000464395449407421,0.00510377461885692
"Phtf2",22.9956106240714,1.11357334177323,0.44924467585609,0.000669567440771787,0.00700221075169621
"Apod",22.0005763582251,2.44973236738735,1.06544216419004,0.000685588574521901,0.00712522411378119
"Ipo8",24.5120613644174,1.05759652051048,0.441875182409331,0.000862856200340689,0.00874461049139189
"Ednrb",21.448373299665,1.09269876896727,0.506339687673365,0.0014593437784018,0.0138152587112352
"Obp2a",53.9058544646051,-1.6340530908942,0.975138314295555,0.00201048146662433,0.0181349763559523
"Surf6",21.4552831472773,1.06129029437237,0.567574643741871,0.00233609014370158,0.0203852038224181
"Nedd4l",17.6534548957984,1.02573715325522,0.549359891534152,0.00265512134770221,0.0225231016225233
"Rpap3",18.2921658759752,1.0110041411926,0.557732479519453,0.00271863789083272,0.022916679349299
"Mt2",50.3425016514959,1.31185799659754,0.843429064805658,0.00289181600831493,0.0242847233922859
"S100a9",159.505978888924,1.28561562173842,0.836880816697529,0.00303038885449283,0.0252582722330268
