seurat_clusters,organ_custom,time,mouse_id,n_cells
7,RM,D02,m2_RT_D2,108
7,RM,D02,m3_RT_D2,84
7,RM,D05,m1_RT_D5,51
7,RM,D05,m2_RT_D5,97
7,RM,D05,m3_RT_D5,111
7,RM,D08,m1_RT_D8,188
7,RM,D08,m2_RT_D8,174
7,RM,D08,m3_RT_D8,105
7,RM,D14,m1_RT_D14,252
7,RM,D14,m2_RT_D14,192
7,RM,D14,m3_RT_D14,286
7,RM,Naive,m1_RT_Naive,256
7,RM,Naive,m2_RT_Naive,155
7,RM,Naive,m3_RT_Naive,137
8,LNG,D02,m1_Sinus_D2,16
8,LNG,D02,m2_Sinus_D2,25
8,LNG,D02,m3_Sinus_D2,5
8,LNG,D05,m2_Sinus_D5,6
8,LNG,D05,m3_Sinus_D5,10
8,LNG,D08,m2_Sinus_D8,17
8,LNG,D08,m3_Sinus_D8,1
8,LNG,D14,m1_Sinus_D14,1
8,LNG,D14,m2_Sinus_D14,11
8,LNG,D14,m3_Sinus_D14,13
8,LNG,Naive,m1_Sinus_Naive,1
8,LNG,Naive,m2_Sinus_Naive,7
8,LNG,Naive,m3_Sinus_Naive,12
8,OM,D02,m1_ET_D2,137
8,OM,D02,m2_ET_D2,168
8,OM,D02,m3_ET_D2,207
8,OM,D05,m1_ET_D5,57
8,OM,D05,m2_ET_D5,77
8,OM,D05,m3_ET_D5,144
8,OM,D08,m1_ET_D8,124
8,OM,D08,m2_ET_D8,165
8,OM,D08,m3_ET_D8,125
8,OM,D14,m1_ET_D14,79
8,OM,D14,m2_ET_D14,103
8,OM,D14,m3_ET_D14,62
8,OM,Naive,m1_ET_Naive,103
8,OM,Naive,m2_ET_Naive,62
8,OM,Naive,m3_ET_Naive,98
8,RM,D02,m1_RT_D2,99
8,RM,D02,m2_RT_D2,124
8,RM,D02,m3_RT_D2,127
8,RM,D05,m1_RT_D5,73
8,RM,D05,m2_RT_D5,125
8,RM,D05,m3_RT_D5,99
8,RM,D08,m1_RT_D8,52
8,RM,D08,m2_RT_D8,76
8,RM,D08,m3_RT_D8,66
8,RM,D14,m1_RT_D14,84
8,RM,D14,m2_RT_D14,78
8,RM,D14,m3_RT_D14,99
8,RM,Naive,m1_RT_Naive,174
8,RM,Naive,m2_RT_Naive,137
8,RM,Naive,m3_RT_Naive,147
9,LNG,D02,m1_Sinus_D2,20
9,LNG,D02,m2_Sinus_D2,102
9,LNG,D02,m3_Sinus_D2,10
9,LNG,D05,m1_Sinus_D5,4
9,LNG,D05,m2_Sinus_D5,8
9,LNG,D05,m3_Sinus_D5,1
9,LNG,D08,m1_Sinus_D8,2
9,LNG,D08,m2_Sinus_D8,16
9,LNG,D08,m3_Sinus_D8,1
9,LNG,D14,m1_Sinus_D14,1
9,LNG,D14,m2_Sinus_D14,10
9,LNG,D14,m3_Sinus_D14,1
9,LNG,Naive,m1_Sinus_Naive,2
9,LNG,Naive,m2_Sinus_Naive,2
9,LNG,Naive,m3_Sinus_Naive,3
9,OM,D02,m1_ET_D2,42
9,OM,D02,m2_ET_D2,449
9,OM,D02,m3_ET_D2,68
9,OM,D05,m1_ET_D5,28
9,OM,D05,m2_ET_D5,86
9,OM,D05,m3_ET_D5,375
9,OM,D08,m1_ET_D8,71
9,OM,D08,m2_ET_D8,264
9,OM,D08,m3_ET_D8,113
9,OM,D14,m1_ET_D14,12
9,OM,D14,m2_ET_D14,46
9,OM,D14,m3_ET_D14,23
9,OM,Naive,m1_ET_Naive,33
9,OM,Naive,m2_ET_Naive,76
9,OM,Naive,m3_ET_Naive,91
9,RM,D02,m1_RT_D2,39
9,RM,D02,m2_RT_D2,119
9,RM,D02,m3_RT_D2,42
9,RM,D05,m1_RT_D5,34
9,RM,D05,m2_RT_D5,285
9,RM,D05,m3_RT_D5,54
9,RM,D08,m1_RT_D8,40
9,RM,D08,m2_RT_D8,87
9,RM,D08,m3_RT_D8,46
9,RM,D14,m1_RT_D14,32
9,RM,D14,m2_RT_D14,36
9,RM,D14,m3_RT_D14,54
9,RM,Naive,m1_RT_Naive,116
9,RM,Naive,m2_RT_Naive,174
9,RM,Naive,m3_RT_Naive,49
10,LNG,D02,m2_Sinus_D2,5
10,LNG,D02,m3_Sinus_D2,9
10,LNG,D05,m1_Sinus_D5,9
10,LNG,D05,m2_Sinus_D5,8
10,LNG,D05,m3_Sinus_D5,362
10,LNG,D08,m1_Sinus_D8,5
10,LNG,D08,m2_Sinus_D8,2
10,LNG,D08,m3_Sinus_D8,2
10,LNG,D14,m1_Sinus_D14,7
10,LNG,D14,m2_Sinus_D14,13
10,LNG,Naive,m1_Sinus_Naive,4
10,LNG,Naive,m2_Sinus_Naive,2
10,LNG,Naive,m3_Sinus_Naive,2
10,OM,D02,m1_ET_D2,3
10,OM,D02,m2_ET_D2,7
10,OM,D02,m3_ET_D2,4
10,OM,D05,m1_ET_D5,3
10,OM,D05,m2_ET_D5,22
10,OM,D05,m3_ET_D5,9
10,OM,D08,m1_ET_D8,3
10,OM,D08,m2_ET_D8,10
10,OM,D08,m3_ET_D8,5
10,OM,D14,m1_ET_D14,2
10,OM,D14,m2_ET_D14,3
10,OM,D14,m3_ET_D14,3
10,OM,Naive,m2_ET_Naive,8
10,OM,Naive,m3_ET_Naive,3
10,RM,D02,m1_RT_D2,20
10,RM,D02,m2_RT_D2,22
10,RM,D02,m3_RT_D2,11
10,RM,D05,m1_RT_D5,118
10,RM,D05,m2_RT_D5,459
10,RM,D05,m3_RT_D5,552
10,RM,D08,m1_RT_D8,461
10,RM,D08,m2_RT_D8,590
10,RM,D08,m3_RT_D8,181
10,RM,D14,m1_RT_D14,15
10,RM,D14,m2_RT_D14,10
10,RM,D14,m3_RT_D14,14
10,RM,Naive,m1_RT_Naive,5
10,RM,Naive,m2_RT_Naive,7
10,RM,Naive,m3_RT_Naive,11
11,LNG,D02,m1_Sinus_D2,17
11,LNG,D02,m2_Sinus_D2,37
11,LNG,D02,m3_Sinus_D2,17
11,LNG,D05,m1_Sinus_D5,21
11,LNG,D05,m2_Sinus_D5,8
11,LNG,D05,m3_Sinus_D5,37
11,LNG,D08,m1_Sinus_D8,16
11,LNG,D08,m2_Sinus_D8,16
11,LNG,D08,m3_Sinus_D8,10
11,LNG,D14,m1_Sinus_D14,21
11,LNG,D14,m2_Sinus_D14,64
11,LNG,D14,m3_Sinus_D14,13
11,LNG,Naive,m1_Sinus_Naive,13
11,LNG,Naive,m2_Sinus_Naive,13
11,LNG,Naive,m3_Sinus_Naive,24
11,OM,D02,m1_ET_D2,45
11,OM,D02,m2_ET_D2,68
11,OM,D02,m3_ET_D2,50
11,OM,D05,m1_ET_D5,47
11,OM,D05,m2_ET_D5,34
11,OM,D05,m3_ET_D5,43
11,OM,D08,m1_ET_D8,76
11,OM,D08,m2_ET_D8,64
11,OM,D08,m3_ET_D8,47
11,OM,D14,m1_ET_D14,44
11,OM,D14,m2_ET_D14,90
11,OM,D14,m3_ET_D14,110
11,OM,Naive,m1_ET_Naive,51
11,OM,Naive,m2_ET_Naive,48
11,OM,Naive,m3_ET_Naive,78
11,RM,D02,m1_RT_D2,127
11,RM,D02,m2_RT_D2,91
11,RM,D02,m3_RT_D2,56
11,RM,D05,m1_RT_D5,49
11,RM,D05,m2_RT_D5,93
11,RM,D05,m3_RT_D5,128
11,RM,D08,m1_RT_D8,157
11,RM,D08,m2_RT_D8,179
11,RM,D08,m3_RT_D8,97
11,RM,D14,m1_RT_D14,170
11,RM,D14,m2_RT_D14,115
11,RM,D14,m3_RT_D14,117
11,RM,Naive,m1_RT_Naive,88
11,RM,Naive,m2_RT_Naive,98
11,RM,Naive,m3_RT_Naive,104
12,LNG,D02,m1_Sinus_D2,63
12,LNG,D02,m2_Sinus_D2,82
12,LNG,D02,m3_Sinus_D2,43
12,LNG,D05,m1_Sinus_D5,68
12,LNG,D05,m2_Sinus_D5,42
12,LNG,D05,m3_Sinus_D5,72
12,LNG,D08,m1_Sinus_D8,60
12,LNG,D08,m2_Sinus_D8,74
12,LNG,D08,m3_Sinus_D8,18
12,LNG,D14,m1_Sinus_D14,68
12,LNG,D14,m2_Sinus_D14,94
12,LNG,D14,m3_Sinus_D14,26
12,LNG,Naive,m1_Sinus_Naive,17
12,LNG,Naive,m2_Sinus_Naive,24
12,LNG,Naive,m3_Sinus_Naive,63
12,OM,D02,m1_ET_D2,13
12,OM,D02,m2_ET_D2,11
12,OM,D02,m3_ET_D2,18
12,OM,D05,m1_ET_D5,8
12,OM,D05,m2_ET_D5,9
12,OM,D05,m3_ET_D5,10
12,OM,D08,m1_ET_D8,20
12,OM,D08,m2_ET_D8,27
12,OM,D08,m3_ET_D8,9
12,OM,D14,m1_ET_D14,2
12,OM,D14,m2_ET_D14,6
12,OM,D14,m3_ET_D14,9
12,OM,Naive,m1_ET_Naive,14
12,OM,Naive,m2_ET_Naive,6
12,OM,Naive,m3_ET_Naive,14
12,RM,D02,m1_RT_D2,181
12,RM,D02,m2_RT_D2,90
12,RM,D02,m3_RT_D2,72
12,RM,D05,m1_RT_D5,98
