"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dcaf1",26.9219291712387,1.25807877447418,0.381838137064673,3.29479602049571,0.000984931458356398,0.0113744397272304
"Notum",27.4230671394084,-1.38711309780277,0.422523322139375,-3.28292670515643,0.0010273537319154,0.011735110275452
"Cab39l",31.4838244963085,1.18412633869904,0.363225644288776,3.26002956376512,0.00111400601328142,0.0126422803628453
"Trib2",37.335649125859,1.04341555555627,0.323162784102533,3.22876150004084,0.0012432753368072,0.0138396870294696
"Dcps",26.5321308098005,-1.19652692321055,0.371219086459012,-3.22323653835795,0.0012675083859175,0.013990624141822
"Stx2",34.42413204434,1.08397509223252,0.336568549219959,3.22066662124186,0.00127892824842351,0.0140870185010178
"Olfm1",32.0311683276673,-1.10446165224681,0.344175112961564,-3.20901079320674,0.00133192492091529,0.0146093773229265
"Por",38.4154135868757,1.01766719645689,0.320617659364082,3.17408341909595,0.00150310484502686,0.0159853523376792
"Strn4",35.9806150198317,1.03282142723996,0.32886585863662,3.14055533621436,0.00168627847569232,0.017593797540569
"Prpf18",27.3901226769601,1.23455121585067,0.394673570219592,3.12803113510687,0.00175981538237857,0.0182346087940926
"Lrrn3",33.0012420144258,1.05816330306598,0.340403528625582,3.10855562319942,0.00188004253204374,0.0193275745009908
"Pdcd11",35.404425036558,1.04816090102779,0.34959682822244,2.99819911512719,0.00271580174981376,0.0259361540515
"Gkn3",24.8961593228118,-2.45840528566734,0.838698287761692,-2.93121533874631,0.00337638647125481,0.0313872238808315
"Mal",1800.83720997686,-1.01058660379874,0.354538486899167,-2.85042848983039,0.00436603668358911,0.0389304937620029
"Ucp2",28.9366521563591,1.02629814646271,0.366329621517871,2.80157018755483,0.00508545774719504,0.0438537088298414
"Stk40",26.7943532905178,1.03653349647593,0.374706905610916,2.76625138462816,0.00567048040235434,0.0474688784607508
